candidate_id,file_path,raw_source_path,width,height,top_margin,bottom_margin,left_margin,right_margin,cutoff_risk,source_already_clipped,looks_like_gear3,wrong_form_reason,review_status,reject_reason,notes
ruffy_gear3_reextract_0001,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0001.png,assets/source/pet1_ruffy_gear3_source.png,240,280,40,11,48,48,false,false,unclear,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0002,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0002.png,assets/source/pet1_ruffy_gear3_source.png,237,280,39,12,48,48,false,false,unclear,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design. | bad_thumb_bite_logic"
ruffy_gear3_reextract_0003,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0003.png,assets/source/pet1_ruffy_gear3_source.png,247,280,39,12,25,48,false,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0004,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0004.png,assets/source/pet1_ruffy_gear3_source.png,281,280,40,12,0,0,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0005,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0005.png,assets/source/pet1_ruffy_gear3_source.png,280,280,39,13,0,29,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0006,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0006.png,assets/source/pet1_ruffy_gear3_source.png,277,281,38,40,33,48,false,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0007,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0007.png,assets/source/pet1_ruffy_gear3_source.png,281,276,48,35,11,46,false,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0008,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0008.png,assets/source/pet1_ruffy_gear3_source.png,280,281,27,22,0,0,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0009,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0009.png,assets/source/pet1_ruffy_gear3_source.png,271,281,26,26,0,48,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design. | bad_arm_path_visual_review"
ruffy_gear3_reextract_0010,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0010.png,assets/source/pet1_ruffy_gear3_source.png,242,281,35,29,11,48,false,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0011,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0011.png,assets/source/pet1_ruffy_gear3_source.png,280,276,19,48,40,0,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0012,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0012.png,assets/source/pet1_ruffy_gear3_source.png,281,281,26,41,0,0,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design. | bad_anatomy_six_fingers"
ruffy_gear3_reextract_0013,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0013.png,assets/source/pet1_ruffy_gear3_source.png,280,278,35,48,0,38,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0014,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0014.png,assets/source/pet1_ruffy_gear3_source.png,264,281,25,39,7,48,false,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0015,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0015.png,assets/source/pet1_ruffy_gear3_source.png,239,281,23,0,7,48,false,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0016,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0016.png,assets/source/pet1_ruffy_gear3_source.png,280,266,47,48,42,0,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0017,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0017.png,assets/source/pet1_ruffy_gear3_source.png,255,277,7,48,0,48,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
ruffy_gear3_reextract_0018,assets/review/candidates/ruffy_gear3_reextract/ruffy_gear3_reextract_0018.png,assets/source/pet1_ruffy_gear3_source.png,280,280,13,47,0,0,true,false,true,,rejected,gear3_source_sheet_not_approval_safe,"Gear3 current raw/reextract rejected as a set after visual review; too many anatomy, logic, overlap and cut issues. Requires new Gear3 source sheet with larger spacing and stricter pose design."
