candidate_id,file_path,raw_source_path,width,height,top_margin,bottom_margin,left_margin,right_margin,cutoff_risk,source_already_clipped,looks_like_gear4,wrong_form_reason,review_status,reject_reason,notes
ruffy_gear4_reextract_0001,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0001.png,assets/source/pet1_ruffy_gear4_source.png,290,271,48,0,42,12,true,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0002,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0002.png,assets/source/pet1_ruffy_gear4_source.png,289,258,48,0,37,7,true,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0003,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0003.png,assets/source/pet1_ruffy_gear4_source.png,290,254,48,0,42,23,true,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0004,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0004.png,assets/source/pet1_ruffy_gear4_source.png,289,256,48,1,41,22,true,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0005,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0005.png,assets/source/pet1_ruffy_gear4_source.png,279,265,48,0,48,35,true,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0006,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0006.png,assets/source/pet1_ruffy_gear4_source.png,282,271,45,18,48,37,false,false,false,gear5_white_hair_or_clothing,rejected,illogical_gear4_pose_visual_review,visual review: pose not logical for Gear4; invalid even in original template
ruffy_gear4_reextract_0007,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0007.png,assets/source/pet1_ruffy_gear4_source.png,289,268,48,22,38,12,false,false,true,,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0008,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0008.png,assets/source/pet1_ruffy_gear4_source.png,283,271,45,37,48,15,false,false,true,,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0009,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0009.png,assets/source/pet1_ruffy_gear4_source.png,289,249,48,18,32,23,false,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0010,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0010.png,assets/source/pet1_ruffy_gear4_source.png,290,253,48,25,27,33,false,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0011,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0011.png,assets/source/pet1_ruffy_gear4_source.png,277,271,11,44,48,39,false,false,true,,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0012,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0012.png,assets/source/pet1_ruffy_gear4_source.png,289,271,32,43,25,12,false,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0013,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0013.png,assets/source/pet1_ruffy_gear4_source.png,290,271,22,0,40,23,true,false,false,gear5_white_hair_or_clothing,rejected,detached_effect_fragments_visual_review,removed after visual review; detached white fragments visible below character, not source-approved-safe
ruffy_gear4_reextract_0014,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0014.png,assets/source/pet1_ruffy_gear4_source.png,289,271,22,36,42,22,false,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0015,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0015.png,assets/source/pet1_ruffy_gear4_source.png,290,269,43,48,36,35,false,false,true,,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0016,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0016.png,assets/source/pet1_ruffy_gear4_source.png,290,257,11,48,45,37,false,false,true,,rejected,bad_anatomy_visual_review,visual review: fist standing on left hand while leaning on two hands; mouth incomplete/wrong
ruffy_gear4_reextract_0017,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0017.png,assets/source/pet1_ruffy_gear4_source.png,275,254,17,48,48,48,false,false,true,,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0018,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0018.png,assets/source/pet1_ruffy_gear4_source.png,290,259,0,48,44,26,true,true,true,,approved,,approved for ruffy gear4 source_approved
ruffy_gear4_reextract_0019,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0019.png,assets/source/pet1_ruffy_gear4_source.png,289,256,16,48,34,19,false,false,false,gear5_white_hair_or_clothing,rejected,bad_fist_visual_review,visual review: fist reads as mixed peace-sign-forward and fist
ruffy_gear4_reextract_0020,assets/review/candidates/ruffy_gear4_reextract/ruffy_gear4_reextract_0020.png,assets/source/pet1_ruffy_gear4_source.png,243,259,13,48,48,48,false,false,true,,approved,,approved for ruffy gear4 source_approved
